Date,Open,High,Low,Close,Volume
2024-01-02,2344.1,2350.52,2288.3,2303.41,13920658
2024-01-03,2300.34,2305.71,2264.17,2295.12,20767399
2024-01-04,2295.14,2295.14,2263.57,2282.23,18611762
2024-01-05,2269.54,2281.04,2230.94,2274.59,15961824
2024-01-08,2268.49,2283.34,2237.93,2279.86,15212783
2024-01-09,2290.55,2294.56,2267.41,2288.2,15720437
2024-01-10,2286.76,2299.77,2264.61,2270.82,15802065
2024-01-11,2279.93,2287.65,2242.88,2246.21,19924196
2024-01-12,2248.84,2270.94,2239.41,2248.58,17900481
2024-01-15,2249.09,2259.9,2206.6,2216.01,11952680
2024-01-16,2208.87,2215.07,2187.87,2208.54,12186484
2024-01-17,2201.05,2201.05,2161.56,2167.71,20596729
2024-01-18,2170.27,2194.2,2170.27,2191.26,17989566
2024-01-19,2198.47,2213.74,2191.88,2200.91,18791983
2024-01-22,2212.23,2223.04,2195.82,2205.03,16121392
2024-01-23,2210.65,2215.66,2175.62,2196.27,14666559
2024-01-24,2196.95,2225.62,2195.66,2213.36,16675294
2024-01-25,2213.69,2215.43,2195.21,2206.18,14153527
2024-01-26,2200.87,2226.41,2191.67,2223.47,13770396
2024-01-29,2218.5,2224.08,2207.42,2213.17,11338365
2024-01-30,2216.22,2238.85,2212.89,2235.83,15139945
2024-01-31,2235.89,2282.25,2233.6,2279.86,18811692
